id,tier,company,country,city_region,buyer_type,est_portfolio,decision_maker,website,email,phone_whatsapp,best_channel,contact_status,why_they_fit
1,A,Villa Management Bali,Indonesia,"Canggu / Seminyak / Uluwatu / Sanur",Villa management,Mid,Founder / Owner,villa-management-bali.com,contact@villa-management-bali.com,+62 813 3733 4871,WhatsApp,Email + WhatsApp published,"Balinese-founded owner-operated firm across 7 villa zones. Owner answers the WhatsApp. Instagram-led bookings = video is a revenue tool they already believe in."
2,A,Bali Villa Manager (Villas of Bali),Indonesia,"Kerobokan / Umalas / Seminyak",Villa management,Mid,Owner,balivillamanager.com,info@balivillamanager.com,+62 821 1159 8787,WhatsApp,Email + phone published,"Named villas (Villa Ava Umalas, Villa Dori Seminyak) already have pro photo sets — perfect Runway/Kling input. Office address published, real operation."
3,A,Nagisa Bali (Nagisa Bali Group),Indonesia,"Seminyak / Canggu / Ubud / Jimbaran / Nusa Dua",Villa management + marketing,Large,Group Director,nagisa-bali.com,info@nagisa-bali.com,+62 361 490 165,Email then WhatsApp,Email + phone + address published,"Explicitly sells 'villa management AND marketing' — content is a line item they already budget. Multi-industry hospitality group, repeat-order potential."
4,A,BaliSuperHost,Indonesia,"Ubud / Canggu / Seminyak / Uluwatu / Sanur",Villa management,569 villas,Founder,balisuperhost.com,,,WhatsApp / IG DM,Website + HQ address published — pull email from site,"569 villas managed. Largest single volume target on this list. Even 5% of portfolio = 28 videos = $4.2k. HQ: Jl. Cok Rai Pudak No.184, Ubud."
5,A,Bali Familia Villa Management,Indonesia,"Uluwatu / Bali-wide",Villa management,Small-Mid,Owner,balifamiliavillamanagement.com,,+62 822 3074 2545,WhatsApp,Phone published,"Small owner-run daily-rental manager. Fast decision, no procurement. Ideal first-3-clients target for portfolio building."
6,A,Optimum Bali,Indonesia,"Seminyak / Oberoi / Canggu / Umalas / Uluwatu / Ubud / Sanur",Villa management + sales,Large,Founder (est. 2009),optimumbali.com,,,WhatsApp / contact form,Website only — pull contact from site,"Since 2009, high-end villas island-wide. Runs both rentals and sales — walkthrough video sells for BOTH use cases, doubles your value prop."
7,A,House of Reservations,Indonesia,"Seminyak / Canggu / Ubud / Uluwatu / Sanur / Nusa Dua / Jimbaran",Villa rental + management,Large,Owner,houseofreservations.com,,,Contact form / IG DM,Website only — pull contact from site,"Explicitly markets villas as 'photoshoot locations' — already sells visual content. Warmest possible angle for a video pitch."
8,A,Orivista,Indonesia,"Seminyak / Canggu / Ubud / Uluwatu",Luxury villa management,52 villas,Founder,orivista.com,,,Email / IG DM,Website only — pull contact from site,"52 luxury villas, stated publicly. Publishes market blog content = marketing-aware buyer who understands content ROI."
9,A,Betterplace Bali,Indonesia,"Canggu / Seminyak / Uluwatu / Ubud / Sanur / Nusa Dua",Villa rental + management,Mid-Large,Founder,betterplace.cc,,,Email / IG DM,Website only — pull contact from site,"Runs an active content blog — they invest in marketing. Six zones incl. Berawa and Pererenan sub-zones."
10,A,Balid Villa Management,Indonesia,"Uluwatu / Jimbaran / Pecatu",Villa management,Small-Mid,Owner,balidvillamanagement.com,,,WhatsApp,Website only — pull contact from site,"Focused on the Bukit (Uluwatu/Pecatu) — the fastest-growing luxury villa zone in Bali. New builds constantly need launch content."
11,A,Bali Home Immo,Indonesia,"Pererenan / Canggu / Bali-wide",Villa management + construction,Mid-Large,Director,bali-home-immo.com,,,Email,Website only — pull contact from site,"Management AND construction — brand-new villas with zero marketing assets, the single best trigger for a walkthrough video order."
